date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:35	128546/128546	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/101.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/101.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:35	105202/105202	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/103.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/103.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:36	202338/202338	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-276.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-276.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:36	665143/665143	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/104.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/104.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:38	263909/263909	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-277.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-277.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:38	287905/287905	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-278.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-278.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:38	246769/246769	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/105.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/105.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:39	199301/199301	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-280.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-280.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:39	189792/189792	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-279.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-279.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:39	172814/172814	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-282.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-282.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:39	387211/387211	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-281.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-281.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:40	324644/324644	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-284.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-284.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:40	629804/629804	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-283.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-283.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:40	262188/262188	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/squire-285.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/squire-285.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
